star,constellation,right_ascension,declination,apparent_magnitude,distance,spectral_type,mass,radius,discovery_year
2MASS J05231403,Lepus,5h 23m 38.22s,1432.2,,40,L2.5,68,1.01,n/a

2MASS 0532+8246,Camelopardalis,5h 32m 53.46s,824646.5,,81,L7,83,,2018

SDSS J053951.99-005902.0,,5h 39m 52s,0591.9,21.05,41.62,L5,61,1.01,n/a

2MASS J05591914-1404488[de],Lepus,5h 59m 19.14s,14448.8,,34,T4.5,,,2000

LSR 0602+3910[de],Auriga,6h 2m 30.45s,391059.2,20.88,34.6,L1,28,1.41,2003

2MASS J06085283-2753583,,6h 8m 52.83s,275358.3,,102,M8.5,38,1.51,n/a

WISEP J061135.13-041024.0A,,6h 11m 35.12s,41024,,69,L9,65,,2014

WISEP J061135.13-041024.0B,,6h 11m 35.12s,41024,,69,T1.5,53,,2014

2MASS J06244595-4521548[de],Puppis,6h 24m 45.95s,452154.8,,39,L5,56,0.99,2008

2MASS J06411840-4322329[de],Puppis,6h 41m 18.4s,432232.9,,65,L1.5,67,1.01,2008

DENIS-P J0652197-253450[de],Canis Major,6h 52m 19.77s,253450.5,,51,L0,75,1.05,2008

2MASS J07003664+3157266[de],Gemini,7h 0m 36.64s,315726.6,,40,L3.5:,,,2003

2MASS J07075327-4900503,,7h 7m 53.27s,49050.3,,60,M9,72,1.03,n/a

UGPS J072227.51-054031.2,Monoceros,7h 22m 27.6s,054038.4,,13.4,T9,26,0.98,2010

2MASSI J0727182+171001[de],Gemini,7h 27m 18.24s,17101.2,,29.6,T7,41,0.94,2002

2MASS J07290002-3954043[de],Puppis,7h 29m 0.02s,39544.4,,25.8,T8 pec,37,0.94,2007

SDSS J074201.41+205520.5[de],Gemini,7h 42m 1.3s,205519.8,,49,T5,43,0.94,2004

2MASS J0746425+200032[fr],Gemini,7h 46m 42.56s,20032.1,,49.6,L0.5,,,1999

DENIS-P J0751164-253043[de],Puppis,7h 51m 16.45s,253043.2,,55,L2.5,71,1.03,2008

2MASS J07522390+1612157,,7h 52m 23.9s,161215.7,,60,M7,2.01,68,

DENIS J081730.0-615520,Carina,8h 17m 30.01s,615515.8,13.6,16.1,T6,44,0.94,2010

DENIS J082303.1491201A,Vela,8h 23m 3.13s,49121.3,,67,L1.5,44,,2006

DENIS J082303.1491201B,Vela,8h 23m 3.13s,49121.3,,67,L5.5,28,,2006

2MASS J08251968+2115521[de],Cancer,8h 25m 19.68s,211552.1,,35,L7.5,52,0.98,2000

SDSSp J083008.12+482847.4[de],Lynx,8h 30m 8.25s,482848.2,,43,L8,48,0.99,2002

LHS 2021,,8h 30m 32.56s,94715.4,,55,M6.5,88,1.15,

SDSS J083048.80+012831.1[de],Hydra,8h 30m 48.78s,12831.1,,77,T4.5,46,0.96,2004

2MASSI J0835425-081923[de],Hydra,8h 35m 42.56s,81923.7,,23.53,L5,62,1.00,2003

2MASSI J0847287-153237[de],Hydra,8h 47m 28.72s,153237.2,,43,L2,64,1.00,2003

2MASS J08533619-0329321,,8h 53m 36.19s,32932.1,,27.6,M9,77,1.07,

2MASSI J0859254-194926[de],Pyxis,8h 59m 25.47s,194926.8,,50,L6,50,0.98,2003

2MASSW J0920122+351742[de],Lynx,9h 20m 12.23s,351742.9,,95,L6.5,,,2000

2MASSI J0937347+293142,Leo,9h 37m 34.87s,293140.9,,20.0,T6p,42,0.94,2002

2MASS 09392448,Antlia,9h 39m 35.48s,244827.9,16.83,17.4,T8,32,0.95,2005

2MASS J09490860-1545485[de],Hydra,9h 49m 8.6s,154548.5,,59,T2,49,0.96,2005

2MASS J10073369-4555147,,10h 7m 33.69s,455514.7,,46,T5,44,0.94,

2MASSI J1010148-040649[de],Sextans,10h 10m 14.8s,4649.9,,55,L6,51,0.98,2003

2MASSI J1017075+130839[de],Leo,10h 17m 7.54s,13839.8,17.4,108,L2:,,,2003

SDSS J102109.69-030420.1,,10h 21m 9.69s,3419.7,,95,T3,,,

2MASS J10224821+5825453[de],Ursa Major,10h 22m 48.21s,582545.3,,60,L1,27,1.41,2008

2MASSW J1036530-344138[de],Antlia,10h 36m 53.05s,344138,,53,L6,49,0.97,2002

2MASS J1047538+212423[de],Leo,10h 47m 53.85s,212423.4,15.8,34.4,T6.5,42,0.94,1999

DEN 1048-3956,Antlia,10h 48m 14.64s,39566.2,17.4,13.15,M9,77,1.07,2000

Luhman 16B,Vela,10h 49m 18.91s,531910,,6.516,T1,43,1.02,2013

Luhman 16A,Vela,10h 49m 18.91s,531910,,6.516,L8,40,1.01,2013

DENIS-P J1058.71548,Crater,10h 58m 47.87s,154817.2,14.155,49,L3,64,1.00,1997

TWA 28,,11h 2m 9.83s,343035.5,,180,M8.5,36,2.39,

Cha 110913-773444,Chamaeleon,11h 9m 14s,773445,21.59,163,L,8,1.8,2005

OTS 44,Chamaeleon,11h 10m 12s,763213,,554,M9.5V,15,,2005

SDSS J111010.01+011613.1,,11h 10m 10.01s,11613,,63,T5.5p,9,1.24,

2MASS J111451332618235,Hydra,11h 14m 51.33s,261823.5,15.86,18.2,T7.5,33,0.96,2005

TWA 26,,11h 39m 51.14s,315921.5,,137,M9,30,2.20,

2MASSW J1146345+223053,,11h 46m 34.49s,223052.7,,89,L3,,,

2MASS J11544223-3400390[de],Hydra,11h 54m 42.23s,34039,14.2,129,L0,37,1.50,2003

2MASSW J1155395-372735[de],Centaurus,11h 55m 39.52s,372735,12.8,31,L2,64,1.00,2002

TWA 27A,,12h 7m 33.46s,393254,,,M8,,,

TWA 27B,,12h 7m 33.5s,393254.4,,,M8,,,

2MASS J12074836-3900043,,12h 7m 48.36s,3904.4,,217,L0,17,1.71,n/a

2MASSI J1217110-031113[de],Virgo,12h 17m 11.1s,31113.1,15.86,36,T7.5,42,0.94,1999

2MASS J12255432-2739466,,12h 25m 54.32s,273946.6,,43,T6,,,n/a

DENIS-P J1228.2-1547,Corvus,12h 28m 15.23s,154734.2,14.38,66,L5,,,1999

2M 1237+6526,Draco,12h 37m 39.19s,652614.8,16.05,45.6,T6.5,41,0.94,2003

2MASSW J1239272+551537[de],Ursa Major,12h 39m 27.27s,551537.1,14.7,119,L5,,,2000

TWA 29,,12h 45m 14.16s,44297.7,,262,M9.5,2.00,25,n/a

SDSSp J125453.90-012247.4[de],Virgo,12h 54m 53.93s,12247.4,14.9,38,T2,47,0.98,2000

Kelu-1A,Hydra,13h 5m 40.2s,25416,,61,L2,63,0.98,1997

Kelu-1B,Hydra,13h 5m 40.2s,25416,,61,L4,58,0.98,1997

2MASS J13204427+0409045,,13h 20m 44.27s,494.5,,101,L3:,67,1.01,n/a

SDSSp J132629.82-003831.5[de],Virgo,13h 26m 29.81s,03831.4,16.1,65,L8:,51,0.97,2000

SDSSp J134646.45-003150.4[de],Virgo,13h 46m 46.34s,03150.1,16,48,T6.5,44,0.94,2000

2MASS J13595510-4034582,,13h 59m 55.1s,403458.2,,51,L1,63,1.00,n/a

ULAS J141623.94+134836.3,,14h 16m 23.94s,134836.3,,29.7,T7.5p,32,0.96,n/a

SDSS J141659.78+500626.4[de],Botes,14h 16m 59.86s,50625.8,22,149,L4.5,59,0.99,2006

DENIS-P J142527.97-365023.4[de],Centaurus,14h 25m 27.98s,365022.9,14,38,L3:,21,1.32,2004

LHS 2924,Botes,14h 28m 43.23s,+331039.1,19.74,38.5,M9V,76,1.06,

2MASS J14392837+1929150,,14h 39m 28.36s,192914.9,,47,L1,72,1.03,n/a

LSPM J1440+1339,,14h 40m 22.93s,133923,,72,M8,92,1.19,n/a

2MASS J14482563+1031590[de],Botes,14h 48m 25.63s,103159,15,47,L4:,59,0.99,2003

CFBDSIR 1458+10A,Botes,14h 58m 29.0s,+101343,19.83,104,T9,11.1,1.5,2010

CFBDSIR 1458+10B,Botes,14h 58m 29.0s,+101343,21.85,104,Y0,9,1.3,2010

TVLM 513-46546,Botes,15h 1m 8.18s,+22502,15.09,35.1,M8.5V,75,1.05,n/a

2MASS 1503+2525,Botes,15h 3m 19.61s,252519.6,,20.7,T5,44,0.94,2003

CFBDS J150411+102717,,15h 4m 11.64s,102718.4,,71,T7,44,0.94,n/a

2MASSW J1506544+132106[de],Botes,15h 6m 54.41s,13216,13,46,L3,69,1.02,2000

2MASS 15071627,Libra,15h 7m 47.69s,162738.6,19,23.9,L5,60,0.99,2000

TVLM 868-110639,,15h 10m 16.85s,2417.8,,53,M9,79,1.08,n/a

SDSS J151114.66+060742.9[de],Serpens,15h 11m 14.66s,6743.1,25,89,T2,,,2006

2MASSW J1515008+484742[de],Botes,15h 15m 0.83s,484741.6,14,34,L6,57,0.99,2003

2MASSI J1526140+204341[de],Serpens,15h 26m 14.05s,204341.4,16,67,L7,54,0.98,2000

DENIS-P J153941.96-052042.4[de],Libra,15h 39m 41.89s,52042.8,14,51,L4,63,1.00,2004

2MASS J15462718-3325111[de],Lupus,15h 46m 27.19s,332511.2,16,37,T5.5,44,0.94,2002

2MASSW J1552591+294849[de],Corona Borealis,15h 52m 59.06s,294848.5,13,68,L0,30,1.43,2003

2MASSW J1555157-095605[de],Libra,15h 55m 15.73s,9565.5,13,44,L1,71,1.03,2002

2MASS J16150413+1340079[de],Hercules,16h 15m 4.13s,13407.9,16,48,T6,42,0.94,2007

SDSSp J162414.37+002915.6[de],Serpens,16h 24m 14.36s,02915.8,,36,T6,43,0.94,1999

2MASS J16262034+3925190[de],Hercules,16h 26m 20.34s,392519,14.44,110,L4sd,71,1.03,2004

2MASSW J1632291+190441[de],Hercules,16h 32m 29.11s,19440.7,22,50,L8,49,0.97,1999

WISEPA J164715.59+563208.2,,16h 47m 15.59s,56328.2,,28,L9p,41,0.94,n/a

LSPM J1658+7027[de],Draco,16h 58m 3.8s,70271.5,19,60,L1,73,1.04,2000

2MASSI J1726000+153819,,17h 26m 0.07s,153819,,114,L3,24,1.40,n/a

2MASSW J1728114+394859,,17h 28m 11.5s,394859.3,,79,L7,,,n/a

SDSSp J175032.96+175903.9,,17h 50m 32.93s,17594.2,,90,T3.5,47,0.97,n/a

2MASS J18283572-4849046,,18h 28m 35.72s,48494.6,,39,T5.5,45,0.95,n/a

LSR J1835+3259,Lyra,18h 35m 37.9s,325954.5,18.27,18.5,M8.5,77,1.07,2003

2MASSW J1841086+311727,,18h 41m 8.61s,311727.9,,138,L4p,67,1.01,n/a

2MASS J18432213+4040209,,18h 43m 22.13s,404020.9,,46,M8,96,1.22,n/a

2MASS J20004841-7523070,,20h 0m 48.41s,75237,,105,M9,25,1.88,n/a

SDSS J204749.61-071818.3,,20h 47m 49.59s,71818.2,,65,T0:,46,0.96,n/a

2MASSI J2057540-025230,,20h 57m 54.09s,25230.2,,47,L1.5,70,1.02,n/a

2MASSW J2101154+175658,,21h 1m 15.44s,175658.6,,108,L7.5,,,n/a

2MASSI J2104149-103736,,21h 4m 14.91s,103736.9,,62,L2.5,69,1.02,n/a

PSO J318.522,Capricornus,21h 14m 8.02s,225135.8,,80,L7VL-G,6.5,1.53,2013

HB 2124-4228,,21h 27m 26.13s,421518.3,,113,M7.5,94,1.21,n/a

2MASS J21392676+0220226,Aquarius,21h 39m 26.77s,22022.7,14.71,32.1,T1.5,46,0.96,n/a

2MASS J21481628+4003593,,21h 48m 16.33s,40359.4,,26.3,L6,55,0.99,n/a

2MASS J14112131-2119503,,21h 50m 19.5s,211950,,,M9,,,n/a

2MASSW J2206450-421721,,22h 6m 44.98s,421720.8,,93,L4,22,1.33,n/a

2MASSW J2208136+292121,,22h 8m 13.63s,292121.5,,154,L3,27,1.41,n/a

2MASSW J2224438-015852,,22h 24m 43.81s,15852.1,,38,L4.5,61,0.99,n/a

2MASS J22282889-4310262,Grus,22h 28m 28.89s,431026.2,15.66,35,T6,42,0.94,2013

2MASS J22373255+3922398,,22h 37m 32.55s,392239.8,,64,M9.5,73,1.04,n/a

2MASSW J2244316+204343,,22h 44m 31.67s,204343.3,,56,L6.5,12,1.29,n/a

2MASS J23224684-3133231,,23h 22m 46.84s,313323.1,,56,L0,24,1.39,n/a

2MASS J23225299-6151275,,23h 22m 52.99s,615127.5,,148,L2,17,1.59,n/a

2MASS J23515044-2537367,,23h 51m 50.44s,253736.7,,67,M8,88,1.16,n/a

2MASSI J2356547-155310,,23h 56m 54.77s,155311.1,,74,T5.5,80,1.09,n/a

WISE 0005+3737,Andromeda,0h 5m 17.48s,373720.5,18.33,23.2,T9,,,2010

WISE 0008-1739,Cetus,0h 8m 49.75s,173923.63,17.03,87.1,T6,,,2010

WISE 0015-4615,Phoenix,0h 15m 5.87s,461517.6,,48.6,T8,,,2010

WISE 0031-3840,Sculptor,0h 31m 19.78s,384036.3,14.1,71.8,L2 pec,,,2010

WISE 0032-4946,Phoenix,0h 32m 31.09s,494651.4,,62.9,T8.5,,,2010

WISE 0038+2758,Andromeda,0h 38m 29.05s,275852.1,,36.9,T9,,,2010

WISE 0038+8405,Cepheus,0h 38m 30.54s,84517.7,,101.8,T6,,,2010

WISE 0040+0900,Pisces,0h 40m 24.88s,9054.8,,47.6,T7,,,2010

WISE 0049+0441,Pisces,0h 49m 28.48s,44059.82,15.85,62.6,L9,,,2010

WISE 0049+2151,Andromeda,0h 49m 45.61s,215120.0,,24.1,T8.5,,,2010

WISE 0106+1518,Pisces,1h 6m 37.05s,151852.57,14.36,142.9,M8 pec,,,2010

WISE 0123+4142,Andromeda,1h 23m 33.28s,41424.52,17.38,67.2,T7,,,2010

WISE 0135+1715,Pisces,1h 35m 25.64s,17153.4,,77.3,T6,,,2010

WISE 0138-0322,Cetus,1h 38m 36.59s,32221.57,16.36,57.7,T3,,,2010

WISE 0146+4234,Andromeda,1h 46m 56.66s,423410.0,18.71,20.5,Y0,,,2010

WISE 0148-7202,Hydrus,1h 48m 7.4s,72258.87,18.96,30,T9.5,,,2010

WISE 0150+3827,Andromeda,1h 50m 10.93s,382724.04,16.07,61.3,T0,,,2010

WISE 0206+2640,Aries,2h 6m 25.29s,264023.64,16.53,58.4,L9 pec,,,2010

WISE 0221+3842,Andromeda,2h 21m 5.99s,38422.73,17.59,73.1,T6.5,,,2010

WISE 0223-2932,Fornax,2h 23m 22.39s,293257.63,17.34,47,T7.5,,,2010

WISE 0226-0211,Cetus,2h 26m 24s,21142.51,18.94,91,T7,,,2010

WISE 0241-3653,Fornax,2h 41m 24.73s,365328.0,,53.8,T7,,,2010

WISE 0245-3450,Fornax,2h 45m 12.62s,345047.8,,56.1,T8,,,2010

WISE 0247+3725,Perseus,2h 47m 14.52s,372523.5,,57.1,T8,,,2010

WISE 0305+3954,Perseus,3h 5m 33.55s,395434.77,17.13,75,T6,,,2010

WISE 0307+2904,Aries,3h 7m 24.58s,29447.46,17.78,82.8,T6.5,,,2010

WISE 0313+7807,Cepheus,3h 13m 26.02s,78744.4,17.65,28,T8.5,,,2010

WISE 0316+4307,Perseus,3h 16m 24.35s,4379.1,,106.3,T8,,,2010

WISE 0321-7347,Hydrus,3h 21m 20.91s,734758.8,,84.8,T8,,,2010

WISE 0323-6025,Reticulum,3h 23m 37.57s,602554.5,18.15,45.3,T8.5,,,2010

WISE 0325-3854,Fornax,3h 25m 17.69s,385454.1,,51.2,T9,,,2010

WISE 0325+0831,Taurus,3h 25m 47.72s,83118.2,,36.5,T7,,,2010

WISE 0333-5856,Reticulum,3h 33m 49.33s,585618.6,16,54.8,T3,,,2010

WISE 0335+4310,Perseus,3h 35m 15.01s,431045.1,,45.7,T9::,,,2010

WISE 0336-0143,Eridanus,3h 36m 5.05s,14350.4,,55.4,T8::,,,2010

WISE 0350-5658,Reticulum,3h 50m 0.32s,565830.2,22.8,17.7,Y1,,,2010

WISE 0359-5401,Reticulum,3h 59m 34.06s,54154.6,21.56,19.2,Y0,,,2010

WISE 0410+1502,Taurus,4h 10m 22.79s,15247.47,19.25,20,Y0,6,1.17,2010

WISE 0410+1411,Taurus,4h 10m 54.46s,141131.41,17.16,85.8,T6,,,2010

WISE 0413-4750,Horologium,4h 13m 58.14s,475039.3,,66.2,T9,,,2010

WISE 0448-1935,Eridanus,4h 48m 53.31s,193548.06,16.99,69.8,T5 pec,,,2010

WISE 0458+6434A,Camelopardalis,4h 58m 53.93s,643452.72,17.50,35.9,T8.5,15,4.2,2010

WISE 0458+6434B,Camelopardalis,4h 58m 53.93s,643452.72,18.48,35.9,T9.5,10,3.8,2010

WISE 0500-1223,Eridanus,5h 0m 3.03s,122342.93,17.82,47,T8,,,2010

WISE 0513+0608,Orion,5h 13m 17.28s,6814.55,16.21,44.7,T6.5,,,2010

WISE 0525+6739,Camelopardalis,5h 25m 36.28s,673949.79,17.49,98.2,T6 pec,,,2010

WISE 0528-3308,Columba,5h 28m 44.53s,33823.95,16.67,57.4,T7 pec,,,2010

WISE 0535-7500,Mensa,5h 35m 16.8s,75024.9,21.1,47,Y1,,,2010

WISE 0539-1034,Orion,5h 39m 56.98s,103436.71,17.71,84.8,T5.5,,,2010

WISE 0542-1628,Lepus,5h 42m 31.28s,162828.96,16.64,50.6,T6.5,,,2010

WISE 0607+2429,Gemini,6h 7m 38.65s,242953.5,14.22,25.4,L8,,,2010

WISE 0611-0410,Monoceros,6h 11m 35.14s,41024.17,15.49,57.7,T0,,,2010

WISE 0612-4920,Puppis,6h 12m 8.69s,492023.9,,95.2,T3.5,,,2010

WISE 0612-3036,Canis Major,6h 12m 13.88s,303612.2,17,64.9,T6,,,2010

WISE 0614+3912,Auriga,6h 14m 7.51s,391235.67,16.93,50.2,T6,,,2010

WISE 0614+0951,Orion,6h 14m 37.73s,95135.0,,51.5,T7,,,2010

WISE 0623-0456,Monoceros,6h 23m 9.91s,45624.27,17.51,37.5,T8,,,2010

WISE 0625+5646,Lynx,6h 25m 42.27s,564625.55,17.1,67.2,T6,,,2010

WISE 0627-1114,Canis Major,6h 27m 20.08s,111427.98,15.49,37.2,T6,,,2010

WISE 0647-6232,Pictor,6h 47m 23.23s,623239.7,22.65,28,Y1,,,2010

WISE 0656+4205,Auriga,6h 56m 9.63s,42532.22,15.45,54.1,T3,,,2010

WISE 0713-2917,Canis Major,7h 13m 22.55s,291751.9,19.64,23.2,Y0,,,2010

WISE 0723+3403,Gemini,7h 23m 12.44s,34313.5,,45.7,T9:,,,2010

WISE 0733+7544,Camelopardalis,7h 33m 47.94s,754439.2,,78.3,T6,,,2010

WISE 0734-7157,Volans,7h 34m 44.02s,715744.0,20.41,34.9,Y0,,,2010

WISE 0744+5628,Lynx,7h 44m 57.28s,562821.12,17.68,47.3,T8,,,2010

WISE 0750+2725,Gemini,7h 50m 3.77s,272544.68,19.02,51.5,T8.5,,,2010

WISE 0751-7634,Chamaeleon,7h 51m 8.75s,763449.54,19.34,39.1,T9,,,2010

WISE 0759-4904,Puppis,7h 59m 46.98s,49454.13,,38.8,T8,,,2010

WISE 0811-8051,Chamaeleon,8h 11m 17.81s,805141.3,,32,T9.5:,,,2010

WISE 0812+4021,Lynx,8h 12m 20.04s,40216.2,,63.6,T8,,,2010

WISE 0819-0335,Hydra,8h 19m 58.06s,33528.52,14.99,46,T4,,,2010

WISE 0821+1443,Ursa Major,8h 21m 31.66s,144319.29,16.78,68.2,T5.5,,,2010

WISE 0836-1859,Pyxis,8h 36m 41.17s,185947.18,,72.4,T8 pec,,,2010

WISE 0857+5604,Ursa Major,8h 57m 16.25s,5647.58,17.65,42.1,T8,,,2010

WISE 0906+4735,Ursa Major,9h 6m 49.34s,473538.2,18.16,51.5,T8,,,2010

WISE 0929+0409,Hydra,9h 29m 6.78s,4957.59,17.21,64.9,T6.5,,,2010

WISE 0952+1955,Leo,9h 52m 59.3s,19558.49,17.13,72.1,T6,,,2010

WISE 1018-2445,Hydra,10h 18m 8.05s,244558.26,,47.6,T8,,,2010

WISE 1019+6529,Ursa Major,10h 19m 5.64s,652954.17,16.59,56.8,T6,,,2010

WISE 1039-1600,Hydra,10h 39m 7.73s,1602.9,,47.3,T7.5,,,2010

WISE 1042-3842,Antlia,10h 42m 45.29s,384237.86,,53.2,T8.5,,,2010

WISE 1051-2138,Hydra,10h 51m 30.01s,213859.7,,40.8,T9:,,,2010

WISE 1122+2550,Leo,11h 22m 54.71s,255021.85,16.67,57.7,T6,,,2010

WISE 1124-0421,Leo,11h 24m 38.12s,42149.7,,50.6,T7,,,2010

WISE 1147-2040,Hydra,11h 47m 24.21s,204020.44,,102,L7,,,2010

WISE 1150+6302,Ursa Major,11h 50m 13.9s,63240.97,17.72,32.9,T8,,,2010

WISE 1217+1626A,Coma Berenices,12h 17m 56.96s,162639.98,18.59,34.2,T9,12,,2010

WISE 1217+1626B,Coma Berenices,12h 17m 56.96s,162639.98,20.26,34.2,Y0,6,,2010

WISE 1225-1013,Virgo,12h 25m 58.86s,101345.0,,55.4,T6,,,2010

WISE 1311+0122,Virgo,13h 11m 6.21s,12253.61,18.97,44.4,T9:,,,2010

WISE 1311+3629,Canes Venatici,13h 11m 41.91s,362924.83,15.55,86.1,L5 pec,,,2010

WISE 1318-1758,Virgo,13h 18m 33.98s,175826.5,,32.9,T9:,,,2010

